SUJETO1,RELACION,SUJETO2
Daryl Andrews,Sagrada - Diseñador,"Daryl is a game designer and a member of the Game Artisans of Canada (GAC)Daryl often codesigns game with other talented designers including: Stephen Sauer, Adrian Adamescu, Erica Boyouris, Sylvain Plante, Morgan Dontaville, Philip duBarry, Bobby West, and more to come."
Adrian Adamescu,Sagrada - Diseñador,"Adrian is a Game Designer and a member of theGame Artisans of Canada.Adrian often collaborates with other designers includingDaryl Andrews,Michael Guigliano,Adam Horvath,Bobby West,Kristen Mott,Kristian Amundsen Østby,Kjetil Svendsen,Cole Smith,Florin Purluca,Gordon Oscar, Brent Kipe,Brandon OhmieandIvan Alexiev."
Peter Wocken,Sagrada - Diseñador,I am the Head of Graphic Design at Pandasaurus Games.
Floodgate Games,Sagrada - Editorial,Microbadge:Floodgate Games
Cranio Creations,Sagrada - Editorial,"Cranio Creationsis a new and creative Italian enterprise in the world of gaming. Its production follows three core principles: new game dynamics, fun as the leading element of each game, and a unique and unmistakable style."
CrowD Games,Sagrada - Editorial,"CrowD Games was established in 2015. Our headquarters is located in Tallahassee, Florida, but our team is international and multicultural. We live and work in different countries all around the world."
Devir,Sagrada - Editorial,From website:
FoxGames,Sagrada - Editorial,"Foxgames is a brand new publisher on Polish market. With fresh start, comes the occasion to bring new and fascinating games for its Clients. Focused mainly on family games don't hesitate to work on more complex products to bring joy for players in all age."
Galápagos Jogos,Sagrada - Editorial,One of the fast growing Brazilian Publisher of modern BoardGames. Publishing top quality boardgames in Brazil since 2010!
Geekach Games,Sagrada - Editorial,Young Ukrainian publisher with fiery eyes.
Lanlalen,Sagrada - Editorial,This board game publisher created the Thai version of Resistance Avalon.
Lex Games,Sagrada - Editorial,Licentiator de board games in Romania.
Mandoo Games,Sagrada - Editorial,Korean publisher and distributor.We are making family games with strategic gameplay and beautiful contents.
Matagot,Sagrada - Editorial,"Since 2005, Matagot has been committed to giving each game its own universe and sophisticated gameplay. This independent french publisher is based in the city of wines, Bordeaux, and has developed flagship hits such as Inis, River Dragons, Kemet, Captain SONAR, Takenoko and Room 25. Matagot's editorial line is resolutely generalist and offers a varied range of games through its collections (Micro Game, Trick-taking, Party games, Historia, Kids, Meeple Expert, Epic) with new original creations every year."
MEBO Games,Sagrada - Editorial,MEBO Games was created in 2010Our History:In 2010 MEBO Games Lda. was created. Since the beginning we have created and publish dozens of board games and puzzles in our brand MESAboardgames.
MINDOK,Sagrada - Editorial,Czech Publishing Company based in Prague.
MIPL,Sagrada - Editorial,"Mipl is associated with everything connected with board games in Serbia. It is a brand under Pridemage Games company.Since the year 2020,Pridemage Gamespublishes games under the brand MIPL."
One Moment Games,Sagrada - Editorial,"One Moment Games was founded in 2009, being one of the earliest board game brand in China. We have been encouraging the young people to enjoy social activities with family and friends through face to face games experience. Our goal has always been importing the best board games for the children and young people, bringing them happy memories, and hopefully, lifting the family atmosphere as well.﻿At the same time, we are also trying to integrate the wisdom and ancient culture from China into board games. By uniting world-famous board game designers and celebrated Chinese illustrators and sculptors, we hope to deliver new gaming experiences to families around the globe with this newly integrated style.﻿Through continuous efforts, we have successfully launched ""Play Language"", ""Little Hero's Journey"", ""Journey to the West"", ""Kung Fu Panda"" and ""Hello, Yuntong"" series. The products integrate the mathematical logic that Oriental people are good at with traditional virtue education, and show mysterious and wonderful pictures of ancient China history through board games.﻿We are sincerely looking forward to cooperating with you!"
